Altium Designer Pick and Place Locations
C:\Users\EliteBook\Desktop\Memristor\HW_PiCAN_Interface_v3.0\HW\ProjectOutputs\V1\Pick Place\Pick Place for PI_CAN_Interface_v3.csv

========================================================================================================================
File Design Information:

Date:       08.03.22
Time:       20:33
Revision:   98c863f3c24ccdb03c65c903f253f5a849971fda
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C8","100uF","TopLayer","CER_1210","74.1428","43.3608","90","CAP CER 100u X5R 6.3V 10% 1210"
"C7","100uF","TopLayer","CER_1210","74.1174","46.5358","90","CAP CER 100u X5R 6.3V 10% 1210"
"J4","*","TopLayer","HM1X3","85.1916","34.0360","180",""
"P8","TE CONNECTIVITY_4PIN_MALE","TopLayer","TE_CONNECTIVITY_4PIN_MALE","62.1030","37.5920","90","BLUE_4PIN_CONECTOR"
"P7","TE CONNECTIVITY_4PIN_MALE","TopLayer","TE_CONNECTIVITY_4PIN_MALE","56.1340","37.5920","90","BLUE_4PIN_CONECTOR"
"P6","TE CONNECTIVITY_4PIN_MALE","TopLayer","TE_CONNECTIVITY_4PIN_MALE","38.2270","37.5920","90","BLUE_4PIN_CONECTOR"
"P5","TE CONNECTIVITY_4PIN_MALE","TopLayer","TE_CONNECTIVITY_4PIN_MALE","44.1960","37.5920","90","BLUE_4PIN_CONECTOR"
"P4","TE CONNECTIVITY_4PIN_MALE","TopLayer","TE_CONNECTIVITY_4PIN_MALE","50.1650","37.7190","90","BLUE_4PIN_CONECTOR"
"U1","MCP2518FD","TopLayer","SOIC14-300","51.1767","49.6503","0","IC CAN CONTROLLER W/SPI 18SOIC"
"U3","TPS5430","TopLayer","HSOP-8","71.6280","63.3730","180",""
"R7","2.2K","TopLayer","RESC2013X38N-0805-NOOVERLAY","73.1520","67.3100","90","RES SMD 9.1 kOhm 1/8W 0805"
"R6","820R","TopLayer","RESC2013X38N-0805-NOOVERLAY","75.1840","69.2150","90","RES SMD 9.1 kOhm 1/8W 0805"
"R5","220R","TopLayer","RESC2013X38N-0805-NOOVERLAY","76.4540","66.2940","0","RES SMD 9.1 kOhm 1/8W 0805"
"R3","10k","TopLayer","RESC2013X38N-0805-NOOVERLAY","79.7560","60.8330","90","RES SMD 51 kOhm 1/8W 0805"
"D2","SK34","TopLayer","DO214AC","72.3900","72.8980","0","DIODE SCHOTTKY 40V 3A DO214AC"
"D1","B340A","TopLayer","DO214AC","69.6468","58.5470","0","DIODE SCHOTTKY 60V 3A DO214AC"
"C6","10uF","TopLayer","CER_1210","66.0430","63.9824","0","CAP CER 2.2u X7R 100V 20% 1210"
"C5","0.01uF","TopLayer","CER_0603","76.2000","60.5670","180","CAP CER 100n 10V X5R 10% 0603"
"R1","10k","TopLayer","RESC2013X38N-0805-NOOVERLAY","55.0000","60.0000","270","RES SMD 10 kOhm 1/8W 0805"
"C4","100n","TopLayer","CER_0603","56.0190","56.3880","90","CAP CER 100n 10V X5R 10% 0603"
"J3","00000006","TopLayer","HM1X10","28.4226","47.8536","270",""
"J2","*","TopLayer","HM1X2","64.1096","79.5020","180",""
"P3","RJ-11","TopLayer","RJ11-6N-B","53.2596","70.1530","270",""
"P2","RJ-11","TopLayer","RJ11-6N-B","38.6292","70.1530","270",""
"L1","15uH","TopLayer","INDUCTOR_SS1260-103MLD","83.1850","52.4129","90","FIXED IND 10uH 3A"
"P1","*","TopLayer","PWR_CON","80.3148","69.0736","0",""
"Y1","20MHz","TopLayer","OSCILATOR","39.0652","50.4190","90","Crystal Oscillator"
"U4","LM2937-5","TopLayer","SOT223","76.7588","37.0332","180","IC REG LINEAR 5V 400MA SOT223-4"
"U2","SN65HVD230DR","TopLayer","SOIC-8","49.6482","58.0484","0","IC EMC CAN TRANSCEIVER 8-SOIC"
"J1","00000005","TopLayer","HM2X20","58.2676","29.2608","270",""
"LED1","LED GREEN","TopLayer","LED_GREEN_0805","39.3700","59.5630","90","LED GREEN CLEAR 0805 SMD"
"LED2","LED GREEN","TopLayer","LED_GREEN_0805","42.5703","59.5121","90","LED GREEN CLEAR 0805 SMD"
"LED3","LED GREEN","TopLayer","LED_GREEN_0805","63.0760","45.2120","180","LED GREEN CLEAR 0805 SMD"
